"","name","degree","degree_in","degree_out","eigen","community"
"95","Anne Arundel Health System Research Institute",1,0,1,0,"7"
"96","Anthony Joshua, FRACP",1,0,1,0,"5"
"97","Anthony Magliocco",9,0,9,0,"30"
"98","Antonio Giordano, MD",1,0,1,0,"31"
"99","Antonios Likourezos",1,0,1,0,"32"
"100","Anup Kasi",1,0,1,0,"1"
"101","Anuradha Krishnamurthy",1,0,1,0,"11"
"102","Anwaar Saeed",2,0,2,0,"11"
"103","Aprea Therapeutics",1,0,1,0,"5"
"104","April Salama, M.D.",2,0,2,0,"11"
"105","Aptium Oncology Research Network",2,1,1,0,"33"
"106","Aragon Institute of Health Sciences",3,1,2,0,"24"
"107","Arbeitsgemeinschaft medikamentoese Tumortherapie",13,0,13,0,"5"
"108","Arbor Research Collaborative for Health",1,0,1,0,"7"
"109","Arcispedale Santa Maria Nuova-IRCCS",2,1,1,0,"34"
"110","Arcus Biosciences, Inc.",5,4,1,1.19302990543183e-06,"11"
"111","Ardigen",1,0,1,0,"19"
"112","Aristocrat Plastic Surgery and MedAesthetics",2,0,2,0,"35"
"113","Aristotle University Of Thessaloniki",3,1,2,0,"36"
"114","Arjun Mittra",1,0,1,0,"7"
"115","Arrys Therapeutics",1,0,1,0,"11"
"116","Arvinas Estrogen Receptor, Inc.",2,1,1,0.00181067025329108,"5"
"117","Arvinas Inc.",1,0,1,0,"5"
"118","Asan Medical Center",45,12,33,1.18757238476822e-12,"25"
"119","Ascentage Pharma Group Inc.",1,0,1,0,"37"
"120","Asha Nayak",2,0,2,0,"11"
"121","Ashish Manne",2,0,2,0,"7"
"122","Ashwin Somasundaram",2,0,2,0,"7"
"123","Asociación Española de Gastroenterología",2,1,1,4.0477479531527e-12,"24"
"124","Asociación de Oncología Médica del Hospital de Cruces",2,0,2,0,"24"
"125","Asociación para el Progreso de la Oncología en Málaga",1,0,1,0,"5"
"126","Assaf-Harofeh Medical Center",7,0,7,0,"4"
"127","Assistance Publique - Hôpitaux de Paris",50,7,43,0.0030447512418392,"17"
"128","Assiut University",2,1,1,0,"24"
"129","Associacao de Investigacao de Cuidados de Suporte em Oncologia",4,1,3,0,"38"
"130","Associacio catalana per a la recerca oncologica i les seves implicacions sanitaries i socials",2,0,2,0,"5"
"131","Association Européenne de Recherche en Oncologie",6,1,5,7.70171624707275e-05,"5"
"132","Association Tunisienne de lutte Contre le Cancer",2,0,2,0,"5"
"133","Association des Gastroentérologues Oncologues",7,0,7,0,"17"
"134","Association of Dermatological Prevention, Germany",2,0,2,0,"6"
"135","Association pour la Recherche sur le Temps Biologique et la Chronothérapie",4,0,4,0,"5"
"136","Association pour le Dépistage Organisé des Cancers dans le Rhône",1,0,1,0,"17"
"137","Associazione Italiana per lo Studio del Pancreas",6,0,6,0,"10"
"138","Astellas Pharma Global Development, Inc.",2,0,2,0,"5"
"139","Astellas Pharma Inc",10,7,3,0.00117221117755554,"5"
"140","AstraZeneca",130,112,18,0.0144004132213758,"5"
"141","Athabasca University",3,0,3,0,"6"
"142","Athenex, Inc.",1,0,1,0,"39"
"143","Atlantic Health System",1,0,1,0,"40"
"144","Atossa Therapeutics, Inc.",1,0,1,0,"41"
"145","Auburn University",1,0,1,0,"7"
"146","Austin Health",5,2,3,8.79769366413901e-10,"21"
"147","Australasian Gastro-Intestinal Trials Group",13,5,8,0.00336487882986948,"21"
"148","Austrian Breast & Colorectal Cancer Study Group (ABCSG)",18,3,15,3.77231256595059e-05,"5"
"149","Auxilio Mutuo Cancer Center",2,0,2,0,"5"
"150","Avelas Biosciences, Inc.",2,0,2,0,"42"
"151","Azienda Ospedaliera Universitaria Integrata Verona",34,1,33,0,"10"
"152","Azienda Ospedaliera di Padova",3,2,1,1.43598272793211e-11,"10"
"153","Azienda Sanitaria Ospedaliera",1,0,1,0,"10"
"154","Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia",1,0,1,0,"10"
"155","Azienda Unità Sanitaria Locale Reggio Emilia",2,0,2,0,"34"
"156","BAIYONG SHEN",1,0,1,0,"1"
"157","BGI, China",2,1,1,3.42332601275611e-12,"1"
"158","BTG International Inc.",8,7,1,8.95721095540673e-07,"7"
"159","Baki Topal",12,0,12,0,"12"
"160","Balgrist University Hospital",1,0,1,0,"43"
"161","Baptist Health South Florida",4,1,3,2.55981946377404e-06,"7"
"162","Barbara Ann Karmanos Cancer Institute",6,2,4,6.47533097709682e-08,"7"
"163","Barbara Parker, MD",1,0,1,0,"44"
"164","Barretos Cancer Hospital",5,1,4,1.70415732863706e-16,"4"
"165","Barts & The London NHS Trust",6,5,1,8.44558778334774e-08,"11"
"166","Baruch Brenner",1,0,1,0,"5"
"167","Barwon Health",1,0,1,0,"5"
"168","Base Therapeutics (Shanghai) Co., Ltd.",1,0,1,0,"1"
"169","Bastyr University",4,0,4,0,"7"
"170","Baudax Bio",1,0,1,0,"45"
"171","Baxter Healthcare Corporation",4,3,1,2.8053768495471e-06,"6"
"172","Bayer",43,41,2,0.000943090919932141,"25"
"173","Baylor Breast Care Center",7,0,7,0,"5"
"174","Baylor College of Medicine",17,5,12,6.53549026554689e-08,"46"
"175","Baylor Research Institute",3,1,2,0,"5"
"176","Baystate Medical Center",1,0,1,0,"47"
"177","Beckman Laser Institute and Medical Center",2,0,2,0,"11"
"178","BeiJing Yijiayi Medicine Techonoloy Co., Ltd.",1,0,1,0,"48"
"179","Beijing 302 Hospital",9,8,1,1.43829187546081e-10,"1"
"180","Beijing Biostar Pharmaceuticals Co., Ltd.",3,2,1,1.35074792392947e-10,"1"
"181","Beijing Chao Yang Hospital",16,8,8,1.97094905457078e-10,"1"
"182","Beijing Ditan Hospital",1,0,1,0,"1"
"183","Beijing Friendship Hospital",70,13,57,3.98990325255237e-10,"1"
"184","Beijing Hospital",10,8,2,2.52962936818322e-10,"1"
"185","Beijing Shenogen Biomedical Co., Ltd",5,1,4,8.34637642730455e-12,"1"
"186","Beijing Tsinghua Changgeng Hospital",2,1,1,8.44429278814762e-12,"1"
"187","Belarusian State Medical University",3,1,2,0,"49"
"188","Belgian Group of Digestive Oncology",4,1,3,3.68018755015942e-10,"12"
"189","Benaroya Research Institute",3,0,3,0,"28"
"190","Bengtson Center",1,0,1,0,"50"
"191","Benha University",1,0,1,0,"51"
"192","Benhealth Biopharmaceutical (Shenzhen) Co., Ltd.",2,1,1,0,"52"
"193","Beni-Suef University",2,1,1,0,"51"
"194","Benno Rehberg-Klug",3,0,3,0,"43"
"195","BerGenBio ASA",3,2,1,2.0452785314208e-07,"7"
"196","Berlin School of Public Health",1,0,1,0,"53"
"197","Berufsverband Niedergelassener Gynäkologischer Onkologen in Deutschland e.V.",1,0,1,0,"54"
"198","Beth Israel Deaconess Medical Center",35,7,28,0.000191162970921603,"11"
"199","Beth Israel Medical Center",2,1,1,2.55981946377395e-06,"5"
"200","Bhavana Konda",1,0,1,0,"7"
"201","Bhuvaneswari Ramaswamy",4,0,4,0,"7"
"202","Binghe Xu",1,0,1,0,"5"
"203","BioChain (Beijing) Science and Technology, Inc.",8,0,8,0,"1"
"204","BioLab 612 LLC",1,0,1,0,"55"
"205","BioNTech SE",4,3,1,0.000483620576527615,"7"
"206","BioNumerik Pharmaceuticals, Inc.",1,0,1,0,"56"
"207","BioSyngen Pte Ltd",2,0,2,0,"1"
"208","BioVex Limited",1,0,1,0,"57"
"209","Biological Dynamics",2,0,2,0,"11"
"210","Biomedical Radiation Sciences",2,0,2,0,"13"
"211","Bispebjerg Hospital",10,4,6,8.19251539528602e-09,"13"
"212","Blood Transfusion Centre of Slovenia",1,0,1,0,"58"
"213","Bolt Biotherapeutics, Inc.",1,0,1,0,"5"
"214","Borstkanker Onderzoek Groep",20,8,12,0.000323604839552032,"16"
"215","Boston Medical Center",12,1,11,7.1518494771056e-06,"11"
"216","Boston Scientific Corporation",9,7,2,1.89348144360453e-06,"4"
"217","Bracco Diagnostics, Inc",4,3,1,2.23967459855982e-07,"7"
"218","Brandon Huffman",3,0,3,0,"11"
"219","Branimir Sikic",1,0,1,0,"5"
"220","Braster S.A.",2,1,1,0,"19"
"221","Brazilian Society of Head and Neck Surgery",1,0,1,0,"24"
"222","Breast Cancer Trials, Australia and New Zealand",4,2,2,4.35872934578227e-06,"5"
"223","Breast International Group",15,13,2,0.00500345504672297,"5"
"224","BriaCell Therapeutics Corporation",1,0,1,0,"59"
"225","Brian Czito",1,0,1,0,"5"
"226","Brigham and Women's Hospital",19,12,7,0.000298880818297082,"11"
"227","BrightOutcome",1,0,1,0,"7"
"228","Bristol-Myers Squibb",89,79,10,0.00415445945600311,"5"
"229","British Columbia Cancer Agency",19,5,14,4.69906823245064e-05,"6"
"230","Brno University Hospital",4,2,2,1.58029718840887e-19,"60"
"231","Brown University",19,2,17,0,"30"
"232","Bruno Bockorny",2,0,2,0,"11"
"233","Bryan Allen",2,0,2,0,"11"
"234","Bryan Schneider, MD",1,0,1,0,"61"
"235","Bryan Schneider, MD, MD",9,0,9,0,"5"
"236","C. Kent Osborne, MD",1,0,1,0,"62"
"237","CAR-T (Shanghai) Cell Biotechnology Co., Ltd.",1,0,1,0,"1"
"238","CARsgen Therapeutics Co., Ltd.",4,3,1,1.64460249076154e-10,"1"
"239","CASI Pharmaceuticals, Inc.",2,0,2,0,"5"
"240","CCTU- Cancer Theme",6,0,6,0,"5"
"241","CECILIA CURVALE",1,0,1,0,"63"
"242","CHA University",4,1,3,6.74669763970526e-15,"25"
"243","CHIR-Net",1,0,1,0,"16"
"244","CHU de Quebec-Universite Laval",4,2,2,3.42792989986576e-05,"6"
"245","CNAO National Center of Oncological Hadrontherapy",1,0,1,0,"64"
"246","COL George Peoples, MD, FACS",1,0,1,0,"65"
"247","CONKO-Studiengruppe",4,0,4,0,"5"
"248","CR-CSSS Champlain-Charles-Le Moyne",3,0,3,0,"5"
"249","CStone Pharmaceuticals",1,0,1,0,"17"
"250","Cai Kailin",4,0,4,0,"1"
"251","Caigang Liu",1,0,1,0,"1"
"252","Cairo University",4,2,2,0,"24"
"253","California Cancer Consortium",1,0,1,0,"7"
"254","Cambridge Health Alliance",2,0,2,0,"1"
"255","Cambridge University Hospitals NHS Foundation Trust",16,6,10,5.91900236694562e-06,"28"
"256","Camilla Qvortrup",9,0,9,0,"13"
"257","Campus Bio-Medico University",5,2,3,3.04654261206639e-14,"10"
"258","Canadian Breast Cancer Research Alliance",8,3,5,6.86536910636703e-05,"6"
"259","Canadian Cancer Trials Group",27,9,18,0.0533797607009015,"7"
"260","Cancer Advances Inc.",4,0,4,0,"66"
"261","Cancer Care Ontario",2,1,1,5.6190987961927e-09,"6"
"262","Cancer Center of Irvine",1,0,1,0,"17"
"263","Cancer Institute and Hospital, Chinese Academy of Medical Sciences",103,27,76,2.19744024059217e-09,"1"
"264","Cancer Intelligence Care Systems, Inc.",1,0,1,0,"67"
"265","Cancer Prevention and Research Institute, Italy",1,0,1,0,"10"
"266","Cancer Registry of Norway",5,1,4,1.66610325629134e-09,"13"
"267","Cancer Research Malaysia",3,0,3,0,"13"
"268","Cancer Research Network",4,1,3,0,"5"
"269","Cancer Research UK",29,27,2,0.00370232562141375,"28"
"270","Cancer Therapeutics Research Group",1,0,1,0,"7"
"271","Cancer Trials Ireland",8,4,4,0.000338693500610022,"21"
"272","Cancer and Leukemia Group B",13,12,1,0.136039024125102,"7"
"273","Candel Therapeutics, Inc.",1,0,1,0,"7"
"274","Cankado GmbH",3,2,1,1.19961169354391e-11,"5"
"275","Cantonal Hospital of St. Gallen",6,3,3,8.27932530728743e-10,"43"
"276","Capital Medical University",4,2,2,1.95760878191236e-11,"1"
"277","Cardiff Oncology",4,3,1,2.55981946377364e-06,"31"
"278","Cardiff University",1,0,1,0,"28"
"279","Cardiff and Vale University Health Board",11,1,10,0,"28"
"280","Cardiovascular and Interventional Radiological Society of Europe",1,0,1,0,"24"
"281","Carey Anders, M.D.",1,0,1,0,"5"
"282","Carilion Clinic",3,1,2,0,"68"
"283","Carlo Chiesa",1,0,1,0,"10"
"284","Carlos Cerdán-Santacruz",2,1,1,0,"24"
"285","Carman Giacomantonio",1,0,1,0,"6"
"286","Carnegie Mellon University",2,1,1,6.1519774717872e-05,"7"
"287","Carol Davila University of Medicine and Pharmacy",2,0,2,0,"10"
"288","Carol Fabian, MD",11,0,11,0,"7"
"289","Carrick Therapeutics Limited",3,1,2,0.000258667179041582,"5"
"290","Case Comprehensive Cancer Center",5,1,4,0,"7"
"291","Catholic University of the Sacred Heart",7,5,2,6.20107073741344e-12,"10"
"292","Catholic University, Italy",3,1,2,0,"24"
"293","Cedar Associates LLC",2,1,1,2.96365232137265e-06,"11"
"294","Cedars-Sinai Medical Center",10,4,6,1.05457419600978e-05,"7"
"295","Celgene",18,17,1,5.09112101489076e-05,"5"
"296","Celgene Corporation",35,33,2,0.00253654535709454,"5"
"297","Celltrion",2,1,1,0,"69"
"298","Cellular Biomedicine Group Ltd.",4,0,4,0,"1"
"299","Cellxpert Biotechnology Corp.",1,0,1,0,"70"
"300","Celyad Oncology SA",1,0,1,0,"11"
"301","Center Eugene Marquis",1,0,1,0,"17"
"302","Center for Epidemiology and Health Research, Germany",1,0,1,0,"25"
"303","Center of Personalized Medicine, Pirogova",2,0,2,0,"71"
"304","Central DuPage Hospital",1,0,1,0,"72"
"305","Centre Antoine Lacassagne",21,2,19,0,"17"
"306","Centre Francois Baclesse",13,0,13,0,"17"
"307","Centre Georges Francois Leclerc",8,2,6,0,"5"
"308","Centre Henri Becquerel",3,1,2,0,"12"
"309","Centre Hospitalier Emile Roux",2,0,2,0,"17"
"310","Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer",2,0,2,0,"17"
"311","Centre Hospitalier Universitaire Dijon",1,0,1,0,"17"
"312","Centre Hospitalier Universitaire de Besancon",9,1,8,0,"5"
"313","Centre Hospitalier Universitaire de Nice",3,2,1,1.06000508156287e-07,"17"
"314","Centre Hospitalier Universitaire de Saint Etienne",5,1,4,0,"17"
"315","Centre Hospitalier Universitaire, Amiens",16,0,16,0,"17"
"316","Centre Jean Perrin",7,1,6,0,"11"
"317","Centre Leon Berard",26,4,22,2.46646383951881e-07,"17"
"318","Centre Oscar Lambret",18,0,18,0,"17"
"319","Centre de recherche du Centre hospitalier universitaire de Sherbrooke",2,0,2,0,"6"
"320","Centre hospitalier de l'Université de Montréal (CHUM)",19,2,17,6.85585396514898e-05,"6"
"321","Centro Cardiologico Monzino",1,0,1,0,"73"
"322","Centro Hospitalar Lisboa Ocidental",1,0,1,0,"74"
"323","Centro Hospitalar de Lisboa Central",1,0,1,0,"75"
"324","Centro Nacional de Investigaciones Oncologicas CARLOS III",9,2,7,0,"24"
"325","Centro de Excelencia en Enfermedades de Cabeza y Cuello",3,0,3,0,"76"
"326","Centro di Riferimento per l'Epidemiologia e la Prev. Oncologica Piemonte",9,1,8,4.75834425923591e-11,"10"
"327","Chandrikha Chandrasekharan",2,0,2,0,"4"
"328","Chang Gung Memorial Hospital",13,4,9,1.06501535765197e-07,"77"
"329","Changhai Hospital",63,19,44,4.71405939280599e-09,"1"
"330","Changhoon Yoo",2,0,2,0,"78"
"331","Changhua Christian Hospital",5,3,2,1.37923884409436e-09,"77"
"332","Changi General Hospital",2,1,1,0,"21"
"333","Chap, Linnea I., M.D.",1,0,1,0,"7"
"334","Charite University, Berlin, Germany",22,8,14,0.0252950946437578,"16"
"335","Charles Darwin University",2,0,2,0,"1"
"336","Chengchu Zhu",2,0,2,0,"1"
"337","Chiayi Christian Hospital",8,1,7,2.68033867602628e-09,"77"
"338","Children's Cancer Group, China",1,0,1,0,"79"
"339","Children's Hospital Los Angeles",1,0,1,0,"7"
"340","Children's Hospital of Philadelphia",2,0,2,0,"25"
"341","Children's Mercy Hospital Kansas City",7,0,7,0,"7"
"342","Children's Oncology Group",3,2,1,3.82962837363388e-05,"7"
"343","Chimerix",1,0,1,0,"11"
"344","China Medical University Hospital",6,4,2,1.40745457683473e-08,"77"
"345","China Medical University, China",12,1,11,1.1508506730034e-11,"1"
"346","Chinese Academy of Medical Sciences",87,9,78,3.29960760844033e-10,"1"
"347","Chinese Academy of Sciences",48,0,48,0,"1"
"348","Chinese Anti-Cancer Association",24,3,21,5.28991500780535e-10,"1"
"349","Chinese PLA General Hospital",41,30,11,2.09122170518003e-09,"1"
"350","Chinese University of Hong Kong",23,3,20,0.0252950590552039,"21"
"351","Ching-I Chang",1,0,1,0,"80"
"352","Chloe Atreya, MD, PhD",2,0,2,0,"11"
"353","Cho Hyun Park",2,0,2,0,"25"
"354","Cho Ray Hospital",1,0,1,0,"81"
"355","Chong Kun Dang Pharmaceutical",1,0,1,0,"25"
"356","Chongqing Precision Biotech Co., Ltd",3,1,2,0,"26"
"357","Christer Ericsson",2,0,2,0,"13"
"358","Chugai Pharmaceutical",6,5,1,0.00135385587045626,"5"
"359","Chung Shan Medical University",1,0,1,0,"82"
"360","Chung-Ang University",4,1,3,1.34939029161879e-14,"25"
"361","Chungnam National University Hospital",2,1,1,1.57747931586949e-15,"25"
"362","Cianna Medical, Inc.",4,3,1,6.48030684853359e-08,"7"
"363","City Clinical Oncology Hospital No 1",4,1,3,0,"83"
"364","City of Hope Medical Center",16,3,13,2.55981946377304e-06,"7"
"365","Ciusss de L'Est de l'Île de Montréal",2,1,1,3.90796308781329e-10,"6"
"366","Claire Kelly",2,0,2,0,"13"
"367","Claus Anders Bertelsen, PhD, MD",1,0,1,0,"84"
"368","Claus Lindbjerg Andersen",5,0,5,0,"13"
"369","Clinica Luganese Moncucco",3,0,3,0,"43"
"370","Clinica Universidad de Navarra, Universidad de Navarra",7,2,5,0,"5"
"371","Clinical Hospital Colentina",3,0,3,0,"10"
"372","Clinical Laserthermia Systems AB",2,1,1,8.96828472255491e-11,"10"
"373","Clinical Research Centre, Malaysia",3,0,3,0,"85"
"374","Cliniques universitaires Saint-Luc- Université Catholique de Louvain",8,6,2,9.22097645914987e-09,"12"
"375","Coastal Carolina Radiation Oncology",2,0,2,0,"7"
"376","Colchester General Hospital",1,0,1,0,"86"
"377","Colin D. Weekes, M.D.",1,0,1,0,"5"
"378","Colon and Rectal Surgery Associates, Ltd.",3,0,3,0,"11"
"379","Coloplast A/S",1,0,1,0,"87"
"380","Colorado State University",3,1,2,1.96660703083375e-07,"5"
"381","ColubrisMX",1,0,1,0,"88"
"382","Columbia University",25,6,19,3.34645047419898e-06,"7"
"383","Comenius University",1,0,1,0,"89"
"384","Commissariat A L'energie Atomique",1,0,1,0,"17"
"385","Comprehensive Cancer Centre The Netherlands",9,5,4,7.468455215924e-07,"16"
"386","Conjupro Biotherapeutics, Inc.",1,0,1,0,"90"
"387","Consorci Sanitari de Terrassa",1,0,1,0,"91"
"388","Consorzio Oncotech",2,0,2,0,"5"
"389","Cook Group Incorporated",8,4,4,5.24649028214392e-07,"92"
"390","Copenhagen University Hospital at Herlev",9,4,5,1.53112900985747e-06,"13"
"391","Corporacion Parc Tauli",31,0,31,0,"93"
"392","Corporal Michael J. Crescenz VA Medical Center",1,0,1,0,"7"
"393","County Durham and Darlington NHS Foundation Trust",1,0,1,0,"94"
"394","Craig A. Bunnell, MD, MPH",5,0,5,0,"11"
"395","Craig L Slingluff, Jr",4,0,4,0,"7"
"396","Creative Biosciences (Guangzhou) Co., Ltd.",1,0,1,0,"95"
"397","Criterium, Inc.",6,2,4,1.96660703083064e-07,"5"
"398","Croatian Cooperative Group for Clinical Research in Oncology",1,0,1,0,"5"
"399","CryoLife, Inc.",1,0,1,0,"7"
"400","Cukurova University",2,1,1,0,"14"
"401","Cure&Sure Biotech Co., LTD",2,1,1,5.2897575688768e-11,"1"
"402","CureTech Ltd",1,0,1,0,"4"
"403","Cynthia Owusu, MD",1,0,1,0,"7"
"404","Cyprus University of Technology",1,0,1,0,"96"
"405","D'Or Institute for Research and Education",4,0,4,0,"4"
"406","D1 Medical Technology (Shanghai) Co., Ltd, China",2,0,2,0,"1"
"407","Da Fu",1,0,1,0,"1"
"408","Daesang Wellife",1,0,1,0,"97"
"409","Daiichi Sankyo",23,16,7,0.00372144107929201,"5"
"410","Daiichi Sankyo Co., Ltd.",7,5,2,0.00147303027429036,"5"
"411","Daiichi Sankyo Taiwan Ltd., a Daiichi Sankyo Company",1,0,1,0,"5"
"412","Dalarna County Council, Sweden",2,1,1,6.45751992814284e-09,"13"
"413","Dalin Tzu Chi General Hospital",2,0,2,0,"98"
"414","Damanhour University",1,0,1,0,"99"
"415","Dana-Farber Cancer Institute",91,19,72,0.000264413829511036,"11"
"416","Danderyd Hospital",3,2,1,2.15051541024768e-08,"13"
"417","Daniela Francescato Veiga",1,0,1,0,"100"
"418","Daniela Kandioler",2,0,2,0,"10"
"419","Danish Breast Cancer Cooperative Group",15,7,8,0.000437257212661491,"13"
"420","Danish Cancer Society",18,13,5,5.59631317784208e-05,"13"
"421","Daping Hospital and the Research Institute of Surgery of the Third Military Medical University",7,6,1,3.27908139236193e-10,"1"
"422","Dartmouth-Hitchcock Medical Center",20,6,14,6.49892141904316e-07,"7"
"423","David Bartlett",4,0,4,0,"7"
"424","David Garcia Cinca",1,0,1,0,"24"
"425","David Hsieh",1,0,1,0,"11"
"426","David Kirsch",1,0,1,0,"6"
"427","David Peereboom, MD",1,0,1,0,"7"
"428","David R. Brenin, MD",1,0,1,0,"101"
"429","Dawn L. Hershman",2,0,2,0,"11"
"430","Deciphera Pharmaceuticals LLC",2,1,1,4.15826996138194e-10,"30"
"431","Delcath Systems Inc.",1,0,1,0,"7"
"432","Delphinus Medical Technologies, Inc.",3,0,3,0,"102"
"433","Democritus University of Thrace",1,0,1,0,"36"
"434","Devalingam Mahalingam",2,0,2,0,"5"
"435","Diagnostic Photonics, Inc.",1,0,1,0,"7"
"436","Diakonessenhuis, Utrecht",2,1,1,0,"16"
"437","Digital Health Navigation Solutions, Inc",2,0,2,0,"7"
